S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,True or false-A happy customer will continue to be a buying customer and a returning customer.,A.TRUE,B..FALSE,C.Go,D.Come,A,
2,Which one of the following is an example of an open question?,A. Can I help you?,B. Would you like to see our new product range?,C. Is this the size you are looking for?,D. What style did you have in mind?,A,
3,A customer has been refused a refund and has become threatening to staff. Which one of the following would be the best action to take?,A. Argue with the customer and insist that they leave the store.,B. Ask staff to guide them to a quiet area of the store and deal with the problem.,"C. Give them the refund immediately, so they leave the store quickly.",D. Guide them to a quiet area of the store and advise that threatening behaviour will not be tolerated.,D,
4,"If your business call to someone will be unexpected, what should you do?",A. Tell them the purpose of your call then ask them to call you back at their convenience,B. Leave a message on voice mail or with a receptionist and tell them to call at their convenience,C. Email them and ask what a good time for calling would be,"D. Call them, but first ask if they have time, before proceeding with the call",D,
5,----------------------------- combines knowledge and professional attitude with friendliness and courtesy towards customers?,Service,Paying attentiveness,Self composure,respect for customers,A,
6,--------------------------------- is the guidelines that establish how various situations of transactions will be handled.,Policies and procedures,customer service guidelines,motivators support,delivery system,A,
7,--------------is one of the things that can irritate people when dealing with customer service departments?,A. Approaching customers at an appropriate time and initiating a conversation with them if they need it.,B. Asking questions to establish the customer's needs.,C. Being put on hold,D. Speaking to an interested person,C,
8,96% percent of customers never bother to complain and _________is the reason why complains are regarded as opportunities not problems,Each happy customer will tell at the most six other people.,Customers are not dependable,Customers are unpredictable,Customers are threats,A,
9,A Call Centre is defined as:,A. The midpoint in duration of a telephone call,B. A revenue sink hole,C. A place where middle of the road calls coexist with liberal and arch-conservative calls,D. A place where complaints and problems are converted into successful saves for your customers and your company,D,
10,A CSR can best help to promote additional sales at the payment point by,A. Placing promotional literature in the customer's carrier bag,B. Introducing to the customer products or services that are less costly than the original item,C. Introducing to the customer products or services which complement the original item,D. Asking the customer if there is anything else they require.,C,
11,"A customer has come into your office and submitted an application. When you give her some more forms to complete, she complains about all the bureaucratic red tape that is slowing down approval of her application. In which of the following ways should you respond to the customer?",A. Simply be patient with her,B. Tell her the reason why your office needs the information,C. Suggest that she contacts her state legislators if she wants to change the law,D. Say that you cannot process her application until all the forms have been completed,A,
12,A customer has purchased a digital camera. Which one of the following describes a product benefit?,A. Size of the screen.,B. Zoom facility.,C. Pictures instantly available.,D. Available in a variety of colours.,C,
13,A customer is complaining angrily about a fault in goods purchased at the store. Which two of the following actions would be the most suitable? 1. Lead the customer to a quiet area of the store. 2. Defuse the customer's anger. 3. Call the manager immediately. 4. Refuse to talk to the customer until they calm down.,A. 1 and 2.,B. 2 and 3.,C. 3 and 4.,D. 4 and 1.,A,
14,"A customer rushes into your drug store to purchase an inhaler, he/she is clearly in a hurry, picked the item and thrust a few thousand naira notes into your hands and runs out again, the money you got is way over the cost price of the inhaler, what would you do?",Stop the Customer from leaving the premises until you have both settled the price,It’s your luck; you've earned yourself an extra cash,Run after the customer with the change,"Do nothing, hope the customer will come some other time then you will her her change",C,
15,A customer walks into the office and asks for the deadline to file a permit application. You do not know the answer. It would be best for you to do which of the following?,A. Tell the person what you think the answer might be.,B. Refer the person to your supervisor.,C. Say that you are not allowed to give out that information to the public.,D. Inform the person that you donâ€™t know but will find out.,D,
16,A Customer who is directly connected to the company is called.,Dependent customer,Valuable customer,Internal customer,Direct customer,C,
17,A person approaches you and tells you of many complaints he has about your department. You should first:,A. Assume that he is just blowing off steam and ignore his criticisms.,B. Check into the legitimacy of the complaints.,C. Ask for advice from your supervisor on the best way to handle the person.,D. Regard the complaints as accurate and take immediate steps to correct them.,B,
18,A regular and valued customer has complained that a delivery of goods has been delayed. Which two of the following actions are most likely to satisfy the customer? 1. Offer free delivery on their next purchase. 2. Promise to investigate the problem. 3. Report it to the manager. 4. Give an apology.,A. 1 and 2.,B. 2 and 3.,C . 3 and 4.,D. 4 and 1.,D,
19,A retail questionnaire has uncovered that customers have no confidence in asking advice from staff. Which one of the following is most likely to be the reason?,A. Insufficient staff training on product knowledge.,B. Poor range of products within the store.,C. Customers are unable to locate staff in the store.,D. Product information to customers is extremely good.,A,
20,A space of time in a telephonic conversation where both the caller and the receiver does not talk is technically termed what?,Mute,Selective Listening,Break,Dead Air,D,
21,A staff member has knowingly given false product information to customers and the employer has received notice of investigation. What is the most likely outcome?,A. The employer will be charged and prosecuted.,B. The employer and the employee may face prosecution.,C. The employee could face prosecution.,D. The employee will be given a verbal warning.,C,
22,All of these are qualities of a customer except,They are not dependent on us rather we are dependent on them,They are not an interruption of our work but the purpose of it,They are the life blood of every business,They are regarded as threats to our business,D,
23,All these except one are qualities of C.S.R winners,Those with the ability to put th e customer on centre stage,Those who can allow customers to be right even on the occasion they are not,Those who are willing to receive insults from customers,Those with a positive attitude cheerful out look,C,
24,"An angry Customer is complaining about your services in a non-constructive way, by raising his/her voice, swearing at you and calling you names; in order to help this customer and keep your sanity what tools and techniques of Customer Service will you employ?",Plain Language,Setting Limits,Refocus,Disengage,B,
25,An effective technique for finding out what a customer is looking for is to,A. Ask if they would repeat the question,B. Interrupt them to confirm understanding,C. Form an opinion quickly,D. Summarise what they have said.,D,
26,An indirect way to acknowledge something a customer has said without agreeing or disagreeing with it is _______,Disengaging,Refocus,Neutral Mode,Not taking the bait,B,
27,"As a CSR for a budding fashion house, one of your customers brought her dress for sewing, after assessing the dress and agreeing on a price which the customer paid, you promised that her dress will be ready in 2 weeks, unfortunately due to unforeseen circumstances, the dress will be delayed for another one week before it will be ready, what will you do to avoid problems with your customer?","Do nothing, the customer should be used to disappointment with fashion houses",Apologize to the customer when she comes for her dress,Runaway from the office so that she does not meet you when she comes for dress.,"Call her days before the agreed date of collection, apologize and explain the reasons why her dress will be delayed.",D,
28,"As a CSR of an organization; you will definitely meet customers who have negative impression about your company due to past experiences, in this case how do you deal with this customer with negative preconception especially when it is justified? Which of the following tools and techniques of Customer Service will you use to repair the strained relationship? i. Active Listening ii. Neutral Mode iii. Not taking the Bait iv. Refocus v. Disengaging vi. Assurances of Results vii. Assurances of Efforts viii. Contact Security/Management/Authority ix. Apologize","Use Technique i., ii, iii, vii, iv, ix","Use Technique ii, iii, v, vi, vii","Use Technique vii, iii, iv, viii",Use all the techniques,A,
29,"As a CSR when having a disagreement, with a customer, how should you react",A. Lower my voice to an ominous whisper,B. Maintain a normal voice level,C. Raise my voice slightly,D. Raise my voice markedly,B,
