S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,A brand voice defines:,Your color palette,The tone and style of communication,Your website speed,Your follower count,B,
2,A good keyword should have:,"High volume, low/medium competition, and relevance",High competition only,Low relevance only,Random guesses,A,
3,A good social media strategy must be:,Random,Unclear,Aligned with business goals,Avoid measurable results,C,
4,A “Pre-Post” hack involves:,Engaging with others before posting,Posting without captions,Deleting old posts,Blocking followers,A,
5,An example of off-page SEO is:,Backlinks,Alt text,Meta tags,Clean URLs,A,
6,"At the decision stage, the best type of content is:",Testimonials and product demos,General blog posts,Infographics,Funny memes,A,
7,Batch-creating content means:,Creating many posts in one sitting,Posting once a year,Copying competitors,Writing without strategy,A,
8,Brand values help:,Confuse customers,Align emotionally with audience,Only design logos,Track sales,B,
9,Brand voice refers to:,Website hosting,The tone/style of communication,Domain name,Font size,B,
10,Buyer intent refers to:,How much a product costs,Why a potential customer is taking an online action,What platforms customers use,The budget of the company,B,
11,Consistency in branding ensures:,People recognize your brand,Higher ad cost,Ignoring content quality,Only viral posts,A,
12,Content marketing focuses on:,Selling directly in every post,Creating and distributing valuable content,Buying competitors’ ads,Short-term sales,B,
13,Content pillars are:,Categories of content themes,Physical columns in a house,Ads only,Hashtags,A,
14,Crawling in SEO refers to:,Users clicking on ads,Bots discovering and reading web pages,Designing websites,Paying for traffic,B,
15,Email marketing is mainly used for:,Random spam,Maintaining relationships with customers,Designing websites,Offline networking,B,
16,Google’s free tool for monitoring indexing status is,Google Analytics,Google Ads,Google Search Console,Ubersuggest,C,
17,"If a page is not indexed, it means",It won’t appear in search results,It will rank higher,It gets more backlinks,It is promoted on TV,A,
18,Internal linking helps:,Search engines discover content,Confuse readers,Remove authority,Delete links,A,
19,Keyword stuffing is:,A good practice,Overuse of keywords unnaturally,Adding images,Meta description writing,B,
20,LinkedIn is best used for:,Professional networking and B2B,Funny memes,Cooking videos,Teen trends,A,
21,Meta titles should ideally be:,10 characters,50–60 characters,200 characters,Unlimited length,B,
22,Off-Page SEO is about:,What happens outside your website,Changing website colors,Writing blog posts only,Hiring SEO staff,A,
23,On-Page SEO refers to:,Things you control on your website,Links from other sites,Guest posting,Social media shares,A,
24,One benefit of SEO compared to ads is:,Short-term only,Stops when you stop paying,Long-term free traffic,No results,C,
25,One key advantage of digital marketing over traditional is:,Harder to measure,More expensive,Measurable results in real-time,No customer interaction,C,
26,Ranking factors include:,"Relevance of keywords, content quality, backlinks",Company size,Office location,CEO popularity,A,
27,SMART goals in social media are:,"Simple, Marketed, Affordable, Reliable, Time-based","Specific, Measurable, Achievable, Relevant, Time-bound","Smart, Modern, Agile, Realistic, Targeted","Strategic, Marketable, Accountable, Real-time, Tangible",B,
28,The goal of SEO in digital marketing is to:,Drive organic traffic,Send mass SMS,Pay for visibility,Replace social media,A,
29,The purpose of alt text is:,Make images colorful,Help search engines and accessibility,Reduce page speed,Add design,B,
30,The ultimate goal of SEO is to,Rank on the first page of search engines,Get likes on social media,Pay for ads,Sell offline,A,
31,TikTok is dominated by which demographic?,Gen Z,Baby boomers,Seniors 60+,Only CEOs,A,
32,What does SEO stand for?,Search Engine Optimization,Social Engagement Operations,Site Evaluation Office,Search Email Outreach,A,
33,What does SMM stand for?,Social Media Marketing,Search Market Metrics,Simple Media Management,Smart Marketing Methods,A,
34,What is digital marketing primarily focused on?,Radio and television ads,Offline billboards,Using digital channels and technologies,Word of mouth,C,
35,What is the primary goal of marketing?,To entertain customers,"To identify, anticipate, and satisfy customer needs profitably",To create random advertisements,To use only digital tools,B,
36,What is the purpose of creating buyer personas?,To define the target audience,To design logos,To write slogans,To track website traffic,A,
37,What percentage of users never go past page one on Google?,50%,60%,75%,90%,D,
38,Which AI tool can now automate SEO tasks?,Photoshop,ChatGPT,Excel,Yoast,B,
39,Which decade saw the emergence of relationship marketing?,1970s,1980s,2000s,2010s,B,
40,Which is a proven method to grow an audience?,Ignore comments,Run giveaways,Post randomly,Avoid hashtags,B,
41,Which is NOT a key aspect of SMM?,Content Creation,Community Building,Paid Advertising,Web Hosting,D,
42,Which is NOT part of the SEO process?,Crawling,Indexing,Ranking,Purchasing,D,
43,Which of these helps search engines crawl a site better?,Sitemaps,Offline posters,Radio ads,Physical brochures,A,
44,Which of these is NOT a core area of digital marketing?,SEO,SEM,Blockchain Mining,Content Marketing,C,
45,Which of these was an early form of marketing?,Blockchain technology,Television ads,Word of mouth,AI-driven campaigns,C,
46,Which platform is best for B2B and professionals?,Instagram,LinkedIn,TikTok,Snapchat,B,
47,Which platform is best for visual storytelling and Reels?,LinkedIn,Instagram,X (Twitter),Google,B,
48,Which stage of buyer intent is about educating the audience?,Awareness,Consideration,Decision,Retention,A,
49,Which tool can be used for a content calendar?,Trello/Notion,Google Sheets,Buffer,All of the above,D,
50,Which tool is beginner-friendly for keyword research?,Google Keyword Planner,Ubersuggest,Answer the Public,All of the above,D,
51,Who is considered the father of modern marketing management?,Steve Jobs,Philip Kotler,Josiah Wedgwood,Bill Gates,B,
52,X (Twitter) is best for:,Real-time conversations and news,Only photos,Long YouTube videos,Offline marketing,A,
