S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,------ are the people outside the organization who pay for service rendered or product sold.,External Paying Customers,Regulated Customers,Internal Customers,External Non Paying Customers,A,
2,A business plan is important for all of the following reasons EXCEPT:,a business plan forces a firm's founders to systematically think through each aspect of their new venture.,a business plan provides lenders and investors assurance that they will earn a decent return.,a business plan provides an investor with something to react to.,a business plan is a selling document that enables a company to present itself to potential suppliers and business partners,B,
3,A thorough marketing analysis should answer the following questions EXCEPT:,Who are my potential customers?,Who are my main competitors?,What are my competitors’ strengths and weaknesses?,What technology should I use for bookkeeping?,D,
4,"A value proposition is a promise of value stated by a company that summarizes how the benefit of the company’s product or service will be delivered, experienced, and acquired.",TRUE,FALSE,Cannot say,Not Always,A,
5,All of the following are characteristics shared by those who excel at recognizing opportunities EXCEPT:,Procrastination,prior experience.,entrepreneurial alertness.,social contacts and ties with others.,A,
6,Choose the correct statement.,Marketing management is a broader concept and sales management is a part of marketing management.,Sales management is a broader concept and marketing management is a part of marketing management.,"Marketing management and sales management, both are equivalent.",There is no connection between sales management and marketing management.,A,
7,Each of the following are ways to identify an opportunity EXCEPT:,observing trends.,solving a problem.,trying out alternative uses of existing products.,finding gaps in the marketplace.,C,
8,Email marketing is mainly used for:,Random spam,Maintaining relationships with customers,Designing websites,Offline networking,B,
9,Entrepreneurial culture and growth orientation consists of all of the following except:,Encouraging employees to generate ideas,Focusing on opportunities.,The desire to dominate others,Being creative.,C,
10,"If it cost you N1500 to buy or produce a product, and you sold at N2500, your gross margin on that product is ------------",35%,45%,40%,30%,C,
11,Innovation can best be defined as_______.,the generation of new ideas.,the evolution of new ideas.,the opposite of creativity.,the successful exploitation of new ideas.,A,
12,Marketers undertake a specific type of brand promotion to help make consumers more conscious about the products they are using. This strategy is called __________.,Segment brand marketing,Intensive brand marketing,Extensive brand marketing,Interactive brand marketing,B,
13,One of the following is not among the most important customer wants and needs.,Choices and options,"Consistency, reliability, and predictability",Unstable promises,"Reasonable simplicity, speed and Value",C,
14,One of the following statements is not correct,"Bookkeeping is an ongoing task. Ideally you’ll need to make sure it’s complete each month, so that you have fresh financial statements on hand, as well as an up-to-date understanding of how your busin",Bookkeeping wastes productive business time and resources.,"To put your business on track for fast, sustained growth, it’s critical that you establish an effective accounting setup during the early stages of operation.","Bookkeeping is the day-to-day process in which you record business transactions (money coming in, money going out), categorize them, and reconcile bank statements.",B,
15,Sale has ________ function in an organization.,Only loss generating,only revenue generating,both loss as well as revenue generating,neither loss nor revenue generating,B,
16,"The following are steps for creating a business model: i. Identify your audience, ii. Define the problem, iii. Understand your offerings, iv. Document your needs, v. Find key partners, vi. Set monetization solutions, vii. Test your model.",TRUE,FALSE,Cannot say,Not Always,A,
17,The function of entrepreneur are:,To imagine a business idea,To study project feasibility,To setup enterprise,All the above,D,
18,"The oral presentation of a company’s products, or services to one or more prospective purchasers for the purpose of making a sale is known as ______.",Sales Planning,Personal Selling,Sales & Distribution Management,Oral Selling,B,
19,Which of the following attitudes Is not generally associated with successful entrepreneurship?,Competition and co-operation,Desire to influence others,Innovation and product improvement,Status quo in business,D,
20,Which of the following explains the debit and credit rules relating to the recording of revenue and expenses?,Expenses appear on the left side of the balance sheet and are recorded by debits; revenue appears on the right side of the balance sheet and is recorded by credits,Expenses appear on the left side of the income statement and are recorded by debits; revenue appears on the right of the income statement and is recorded by credits,The effect of revenue and expenses on owners' equity,The realization principle and the matching principle,C,
21,Which of the following is a type of business models?,Turn over,Subscription,Franchise,Brokerage,A,
22,Which of the following is not a record to capture in book-keeping?,"Receipts, bank statements and bills",Number of competitor in the industry,Canceled cheques and invoices proof of payments,"Financial statements, and any other documentary evidence that supports an item of income or deduction",B,
23,Which of the following is not true about generating creative business ideas?,is an important part of being an entrepreneur,is helped by fear of failure,is not relevant to business in the real world,"is for artists, not entrepreneurs",C,
24,Which of the following statement about an account is true?,"The right side of an account is the debit, or increase side.","An account is an individual accounting record of increases and decreases in specific assets, liability, and stockholders’ equity items.",There are separate accounts for specific assets and liabilities but only one account for stockholders’ equity items.,"The left side of an account is the credit, or decrease, side.",B,
25,Which of the following statements is NOT TRUE about the accrual method of bookkeeping?,"Revenues or expenses are recognized the moment the transaction takes place, regardless of whether money has changed hands yet.",Revenues or expenses are recognized the moment they are actually received or paid.,"Provides a more accurate depiction of income and expenses over a period of time, allowing owners to assess the performance of their business over the long term.","Without careful monitoring, accrual based accounting can have serious consequences.",B,
26,Which of the following statements is NOT TRUE about the cash method of bookkeeping?,"Revenues or expenses are recognized the moment the transaction takes place, regardless of whether money has changed hands yet.",Revenues or expenses are recognized the moment they are actually received or paid.,Easy to determine when a transaction took place.,works best for small businesses because it is simple to maintain.,A,
27,You can recognize potential business ideas from which of the following sources?,problems that need solving,new discoveries,changes in laws,all of the above,D,
28,_______ is a distribution system that uses middlemen i.e. wholesalers and retailers to reach the ultimate buyer.,Direct Distribution,Indirect Distribution,Exclusive Distribution,Intensive Distribution,B,
29,_______is a distribution strategy that strives to have the firm represented in the maximum number of outlets.,Direct Distribution,Indirect Distribution,Exclusive Distribution,Intensive Distribution,D,
30,_______is the process of making a product available to the end consumer or business.,Sales,Distribution,Exchange,Barter,B,
31,________ is a financial plan depicting how resources should best be allocated to achieve the forecasted sales.,Sales Budget,Sales Audit,Sales Control,Sales P&L plan,A,
