S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,"1. In determining fair salary or wages of worker, what tool would you use in order to ascertain the relative worth of the job of an employee?",Job Specification,Job Evaluation,Job Analysis,Job Design,C,
2,101. The ability to sense what others feel and think from their own point of view is?,Sensitivity,Social Sensitivity,Behaviourial Flexibility,Social Flexibility,B,
3,12. When you use time as the basis of remunerating your workers without taking into account their productivity what method of wage payment system are you using?,Time rate wage system,Balance & debt Wage system,Hybrid Wage payment system,Piece rate wage system,A,
4,"14. When you pay your workers according to their outputs at a rate agreed upon before the commencement of the job, what method of wage payment system would you adopt?",Time rate wage system,Balance & debt Wage system,Hybrid Wage payment system,Piece rate wage system,D,
5,3. Which of these is not a prerequisite for sound compensation system?,Job Analysis,Proper Job Evaluation,In depth knowledge of the organization & market factor,Clarity of objectives of wage & salary,A,
6,A process where employees and management come together to identify goals common to them In order to integrate organizational objectives into individual objectives is?,Participatory approach,Management by participation,Management by Objectives,None of the above,C,
7,A situation where an employee moves from one task to another within the same department of an organization is called?,Job Enrichment,Job Multiplication,Job Enlargement,Job Rotation,D,
8,A spirited activity or exercise in which trainees compete with each other according to defined set of rules in order to enhance their productivity is?,Training Games,Simulations Exercise,Exercise,None of the above,A,
9,A system of feelings accompanied by a related set of behaviour is?,Ego state,Transactional Analysis,Social interaction,Sensitivity Training,A,
10,"A written record of the duties, responsibilities and requirements of a particular job is?",Job Design,Job Specification,Job Description,Job Analysis,C,
11,Advertising vacancies through print and electronic media is an example of which method of recruitment?,Internal recruitment,External recruitment,Direct method of recruitment,Indirect method of recruitment,C,
12,All of the following are reasons organizations recruit exceptâ€¦â€¦,"To fill vacancies created due to expansion, growth, death promotion, retirement, transfer etc.",To enhance productivity,For creation of more goods and services as a result of increase in standard of hiring,To get the right candidates for the right Job,D,
13,All of these are attributes of training except?,A process that tries to improve the skills or add to the existing level of knowledge of an employee in the performance of his/her duties,It is the first fundamental step to become an effective human resource personnel,It bridges the gap between what an employee has and what the job demands,It is seen as one of the several ways of motivating an employee,B,
14,"An action or type of behaviour that is prejudiced to the interests of the employer and other employees, which is inconsistent with the norms set for the discharging of duties; unsafe or unfaithful to the extent that it beomes incompatible to continue work relations is _____________",A Criminal act,An Indiscipline act,An Unsafe act,A Misconduct,D,
15,An attempt to create a match between job requirements and human attributes is ___________,Job Matching,Job Design,Job Description,Job Simplification,B,
16,An employee-oriented analytical approach that attempts to describe the whole person on the job is?,Job Performance,Functional Job analysis,Job Description,Job Specification,B,
17,Asking candidates questions without following any laid down procedure is an example of ------,Unplanned interview,Structured interview,Unstructured interview,Stress interview,C,
18,"Assuming you want to employ an architect, and you ask the architect to draw a house with complicated designs as part of his assessment to gauge his competence, this is an example of what test?",Competence Test,Intelligence Test,Performance Test,Interest Test,C,
19,Compliance with Equal Employment Opportunity and training of supervisors are part of which of this Human Resource Management roles?,Operational Role,Strategic Role,Planning Role,Administrative Role,A,
20,Factors affecting recruitment can be classified into how many?,2,3,4,5,A,
21,"For any Human Resource Plan to be effective, it should be derived from __________",The goals and visions of the organization,Mission and Vision statement of the organization,Long terms goals and Strategies of the organization,"The mission, vision and the long term goals of the organization",C,
22,Getting as many people as possible to apply for a job helps is?,Creating application pool,Creating application database,Traditional philosophy of recruitment,Realistic philosophy of recruitment,C,
23,How many categories of training do we have?,2,3,4,5,A,
24,How many methods of wage payments are there?,3,4,5,6,A,
25,Human Resource Planning is important because?,It plays a key role in providing inputs for the formulation of strategies of an organization,It helps to deal with problems that may arise in the organization in the future.,It is the bedrock of every Human Resource activity.,It helps in selecting the best candidates among the numerous options,C,
26,Human Resource Planning is necessary because?,It determines Recruitment level,It reduces the cost of manpower,It anticipates redundancies,All of the above,D,
27,"If an organization has an estimated monthly production of 20,000 televisions, and the standard man-hours needed to manufacture a television is 10 hours, if the average man-hour contribution of an employee in a month is 1,000 hours; using the work study technique of forecasting in HRP, calculate the number of workers to be employed by the organization in order to meet monthly production.",200 workers,"2,550 workers",500 workers,"1,000 workers",A,
28,"If an organization has an estimated monthly production of 20,000 televisions, and the standard man-hours needed to manufacture a television is 10 hours, if the average man-hour contribution of an employee in a month is 1,000 hours; using the work study technique of forecasting in HRP, calculate the total man-hours needed to meet monthly production.","2,000 hours","200,000 hours","1,000 hours",none of the above,B,
29,In a situation where women are restricted from taking a job in an organization is an example of what?,Factors affect recruitment,Challenges of recruitment,External factors affecting recruitment,Cultural factors affecting,D,
