S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,The Primary objective of accident investigation is to find who caused the accident.,Somehow False,TRUE,FALSE,Partially True,C,
2,(I) Identify (II) Assess (III) Control (IV) Restore (V) Recovery. HEMP is based on which combination of the above listed principles,"I,II,III,IV,V","I,II,III,V only","II,II,IV,V only","I,III,IV,V only",B,
3,(I) Humanitarian (II) Economic (III) Legal (IV) Morale Which of the following combinations of the options above gives the reasons accidents are undesirable?,"I, II, III, IV","I, II, III only","I, II, IV only","II, III, IV only",A,
4,.................. is the core and unique element of HSE?,Audit,Implementation,HEMP,management review,C,
5,1. Hazard is...............?,Anything that brings joy,Anything that cause harm,Anything that can reduce risk,Anything that prevents accident,B,
6,"46. There are two type of Permit, but one layout. Which of the following is a type of PTW.",Cold Work Permit,Hot Work Permit,A & B is correct,Soft Work Permit,C,
7,48. The procedures for HSE risk assessment includes I. Identify the hazards (risks) II. Quantify the likelihood of occurrence III. Quantify the consequences IV. Evaluate the effects on business V. Discussion,"I, II, III, IV","I, II, IV, V","I, III, IV, V","I, II, III, V",A,
8,"A HSE management system enables organization to control the risks associated with its operation, and also appreciate the synergy between Health-Safety-Environment and other business objectives.",False in all cases,True in some cases,False in some cases,True in all cases,D,
9,A Near Miss is an acceptable form of Accident.,True in all cases,False in all cases,True in some cases,False in some cases,B,
10,A near miss is an incident that produced no harm. It is caused by unsafe acts and/or unsafe conditions.,TRUE,FALSE,Cannot say,Partly true,A,
11,"A process for identifying the hazards in an HSE critical activity and the effects, with a view to eliminating them or controlling them to reduce the effects to as low as reasonably practicable, is called ------------",HSE-MS,HEMP,ALARP,LTI,B,
12,"A situation that poses a level of threat to life, health, property and is a/an",Hazard,Accident,Risk,Incident,A,
13,Accident is considered undesirable due to the following reasons,Reputation &Moral,Economic & Legal,None of the option A or B are right,A and B are right,C,
14,Accidents affect employers in all but one of the following ways,compensation costs,loss of man hour,negative morale,none of the above,D,
15,Accidents are caused by,unsafe acts only,unsafe acts and unsafe conditions,unsafe conditions only,cosmic powers,B,
16,"Accidents do not just happen, they are caused. Which are the fundamental causes of accident?",unsafe acts and unsafe people,unsafe acts and unsafe organization,Unsafe acts and unsafe conditions,unsafe acts and unsafe process,C,
17,All but one of the following are causes of accident.,Human Error,Excessive Supervision,Unsafe act/Unsafe condition,Lack of control/Uninvolvement by the management.,C,
18,All but one of the following are reasons people carry out unsafe acts and conditions,ignorance,wrong attitude,mental problem,security,D,
19,"All of the following are reasons accident are undesirable, except",Humanitarian,Economic,Reputation,Mystic,D,
