S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,A project charter is an output of which Process Group?,Executing,Planning,Initiating,Closing,C,
2,"A project is divided into four sequential phases. The second phase of the project has just been completed, and the third phase is about to begin. What should the project manager do first?",Begin the process of directing and managing the project work,Perform the process of identifying the project stakeholders,Start the process of monitoring and controlling the project work,Begin the process of developing the project management plan,B,
3,A project manager is appointed full-time to a project and is given full-time administrative staff and full-time project team members. This situation describes which type of organizational structure?,Projectized,Weak matrix,Functional,Balanced matrix,A,
4,"A project manager is faced with two team members who have conflicting opinions. One team member explains her side of the conflict. The other team member responds by saying, I know you will never really listen to my own side, so let us just go with her opinion and get back to work. This is an example of:",Withdrawal,Compromise,Smoothing,Forcing,A,
5,"A project manager is running into problems with the team. People are repeatedly running into trouble over seemingly small problems: who takes notes at meetings, what dress is appropriate for the office, who people need to notify when they take a day off. The problems started out small, but as more people run into more problems the situation is rapidly escalating. This situation is most likely caused by a lack of:",Ground rules (Team Charter),Common courtesy,A reward system,Sensitivity training,A,
6,"A project manager meets with a customer for initial discussions about an upcoming project. At the end of the meeting, the customer asks the project manager for a rough estimate of the project duration. Based on her experience with three similar projects, the project manager provides an estimate of 8-10 months. What estimation technique does the project manager use?",Expert judgment,Three-point estimating,Analogous estimating,Parametric estimating,C,
7,A project manager on a construction project includes a line item in the budget for insurance for the equipment and job site. This is an example of:,Transference,Mitigation,Avoidance,Acceptance,A,
8,A team member approaches you with a change that could cut your schedule down by a month. What is the first thing you should do?,Write up a change request and see if you can get it approved,Make the change; it is going to save time and nobody will want the project to take longer than it should,Figure out the impact on the scope of the work and the cost before you write up the change request,"Tell the team member that you have already communicated the deadline for the project, so you cannot make any changes now",C,
9,"A team member is showing up late to work and leaving early, and it is affecting the project. The project manager decides that the team member must be reprimanded. Which of the following is the BEST way to handle this situation?",In a one-on-one meeting with the team member,At the next team meeting,In a private meeting with the team member and his functional manager,Over email,A,
10,Alberto is the project manager of a software implementation project. His company has made an organization wide decision to move to a new accounting and human resources software package. He has read that some projects to implement the same package have resulted in the loss of personnel data when they tried to import it into the new system. He backs up the data so that it could be restored in the event of such a problem but also buys insurance to cover the cost of keying in the data manually if the implementation does not work. Which response strategies are Alberto using?,Mitigating and Accepting,Mitigating and Avoiding,Mitigating and Transferring,Mitigating and Sharing,C,
11,"As you determine the scope, constraints, and assumptions for the project you record them in which document?",Project Management Plan,Project Scope Statement,Project Charter,Communications Management Plan,B,
12,"At the close of your project, you measure the client satisfaction and find that some client needs were not fully met. Your supervisor asks you what steps you took on your project to improve client satisfaction. Which subsidiary plan would you consult to determine this information?",Quality management plan,Communications management plan,Staffing management plan,Risk management plan,A,
13,"Brandi is a project manager on a software project. About halfway through development, her team found that they had not estimated enough time for some of the technical work they needed to do. She requested that the new work be added to the scope statement and that the time to do the work be added to the schedule. The change control board approved her change. What is her next step?",Update the scope and schedule baselines to reflect the approved change,Start doing the work,Gather performance metrics on the work done by the team so far,Perform Quality Assurance,A,
14,Customer satisfaction should be measured at the end of the project to maintain long-term relationships. Which of the following is NOT always an aspect of customer satisfaction?,The product meets its stated and unstated requirements,The project is profitable,The product is high quality,The customers needs are met,B,
15,"Mary is a project manager at a consulting company. The company regularly builds teams to create products for clients. When the product is delivered, the team is dissolved and assigned to other projects. What kind of organization is she working for?",Weak matrix,Projectized,Functional,Strong matrix,B,
16,Projects are initiated in response to:,Stakeholder's pressure,Business needs,Technological obsolescence,All the above,C,
