S/N,Questions,Option A,Option B,Option C,Option D,Answer,Actions
1,80/20 rule tells us that: 80% of your activities will bring you 20% of your result.,FALSE,Partly true,Cannot say,TRUE,A,
2,"Admin officer’s role requires multitasking across a range of responsibilities, including the following EXCEPT",event planning and organization,"receiving and forwarding communications, and",graphic designs and painting,taking care of more general clerical duties,C,
3,Administrative officers are responsible for day-to-day task management in within an organization.,TRUE,Cannot say,FALSE,Partly true,A,
4,All but one of the following are benefits of effective record management,Low staff turnover,Effective record retrieval,Reduced storage costs,Maintain regulatory compliance,A,
5,An effective admin office is concerned with getting the job done and doing it right.,FALSE,TRUE,Cannot say,Partly true,B,
6,"An impact-effort matrix is a decision-making tool that assists people to manage their time more efficiently. Using an impact-effort matrix, you can assess your activities based on the level of effort required and the potential impact or benefits you will have. Which of the following are not included in the impact-effort matrix?",Quick Wins,Major Projects,Time Wasters,Turning point,D,
7,Being Efficient at work means performing or functioning in the best possible manner with the least waste of .........,Energy and communication,Material and people,time and effort,Distance and workstation,C,
8,Being Efficient at work means performing or functioning in the best possible manner with the least waste of…….,Energy and communication,Material and people,time and effort,Distance and workstation,C,
9,"By evaluating the importance of each task and contrasting it with the time you have available to complete it, you’re able to classify each task into one of four categories. Which is not among the four categories?",Urgent and Important,Important and Not Urgent,Not Important and Urgent,Not Urgent and Not Urgent,D,
10,"By using a robust document management system, you can save time by quickly retrieving data when you need it.",FALSE,Partly true,Cannot say,TRUE,D,
11,Doing things right and doing the right thing will ensure that our organization -----------,Thrives,Survives,Dies slowly,Dies quickly,A,
12,Emotional intelligence can be helpful when you are doing any of the following except...,Deciding on weekly expenditures,Coaching and motivating others,Resolving conflict,Having difficult conversations,A,
13,Ergonomics refers to,a study of work environment,data processing system,communication between organization,a study of the economics,A,
14,"If the turnaround time of a particular task is 2 days, it has to be completed within 2 days; else other interrelated tasks will suffer, delaying an entire workflow.",FALSE,Cannot say,TRUE,Partly true,C,
15,"If you manage your company records effectively, you can avoid the following, except:",lost productivity,data integrity,wasteful audits,costly compliance penalties,B,
16,Managing records assists you in organising data and preventing data loss or breaches. This describes Safeguarding essential information,FALSE,TRUE,Cannot say,Partly true,B,
17,The following are benefits of an ergonomic workspace except,Decreased sick leave due to fewer injuries and exhaustion,improved business diversification,Reduced number of employees compensation claims,Increased work satisfaction,B,
18,"The following are key technology skills that is vital for admin functions, EXCEPT.....",Robotics and Web Design,Word processors and Spreadsheets,Digital presentations and Social media,Virtual conferences and Sending emails,A,
19,"The following are requirements for an administrative officer, Except",Sales and marketing skills,communication skills,Organizational skills,"Working knowledge of necessary productivity tools, including Microsoft Office Suite",A,
20,"The following are ways to safely backup your record management system, except….",Utilise remote record storage facilities,Start a record mining programme,Design a record management policy,Have automated backups,B,
21,The four attributes of emotional intelligence are:I. self awareness II. social awareness III. self management IV. social skills,FALSE,TRUE,Cannot say,Partly,B,
22,The role of the office manager is to manage the following EXCEPT,workers,workplace,workstation,workflow,A,
23,There are for four stages in record management life cycle. The stages are as follows:I. Protection II. Application III. Creation IV. Disposal Arrange them in the correct order,"III, II, I, IV","I, II, III, IV","II, I, III, IV","III, I, II, IV",A,
24,Those responsible for setting policies in a company are the,secretaries,chief executive officer,managing director,board of directors,B,
25,"To get an overview of the structure of a corporation, you would read an _____",problem statement,business policy,organization chart,mission statement,C,
26,What is the correct order for business meeting preparation?,"V, III, VIII, I, VII, II, VI, IV","III, V, VIII, I, VII, II, VI, IV","I, V, III, VIII, VII, II, VI, IV","VIII, I, V, III, VII, II, VI, IV",B,
27,What type of business meeting is useful for moring the progress of team projects?,Informational meetings,Problem-solving meetings,Status update meetings,Team-building meetings,C,
28,Which of the following business meeting offers an alternative to lengthy company memos or emails?,A. Informational meetings,B. Problem-solving meetings,C. Status update meetings,D. Team-building meetings,A,
29,Which of the following is not an example of company's record?,Emails relating to activity,final annual reports,A. Office technology,A. Balance sheets,C,
30,Which of the following statement is not true?,A customer-focused brand places the customer experience as the most important part of doing business,Customer centricity is an organizational mindset that places customers (rather than product or sales) at the center of the business.,A customer-centric organization always maintain low profit margin,Customer-centric is a business strategy that’s based on putting your customer first and at the core of your business in order to provide a positive experience and build long-term relationships.,C,
